timestamp,open,high,low,close,volume
2013-07-23 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-07-24 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-07-25 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-07-28 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-07-29 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-07-30 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-07-31 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-08-01 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-08-04 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-08-05 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-08-12 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-08-13 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-08-14 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-08-18 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-08-19 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-08-20 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-08-21 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-08-22 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-08-25 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-08-26 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-08-27 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-08-29 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-09-01 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-09-02 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-09-03 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-09-04 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-09-05 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-09-08 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-09-09 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-09-10 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-09-11 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-09-12 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-09-15 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-09-16 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-09-17 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-09-18 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-09-19 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-09-22 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-09-23 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-09-24 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-09-25 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-09-26 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-09-29 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-09-30 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-10-01 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-10-02 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-10-03 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-10-06 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-10-07 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-10-08 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-10-09 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-10-10 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-10-20 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-10-21 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-10-22 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-10-23 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-10-24 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-10-27 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-10-28 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-10-29 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-10-30 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-10-31 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-11-03 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-11-04 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-11-05 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-11-06 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-11-07 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-11-10 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-11-11 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-11-12 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-11-13 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-11-14 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-11-17 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-11-18 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-11-19 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-11-20 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-11-21 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-11-24 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-11-25 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-11-26 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-11-27 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-11-28 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-12-01 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-12-02 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-12-03 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-12-04 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-12-05 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-12-08 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-12-09 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-12-10 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-12-11 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-12-12 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-12-15 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-12-17 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-12-18 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-12-19 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-12-22 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-12-23 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-12-24 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-12-26 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-12-29 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2013-12-30 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-01-01 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-01-02 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-01-06 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-01-07 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-01-08 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-01-09 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-01-12 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-01-13 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-01-15 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-01-16 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-01-19 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-01-20 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-01-21 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-01-22 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-01-23 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-01-26 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-01-27 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-01-28 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-01-29 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-01-30 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-02-02 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-02-03 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-02-04 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-02-05 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-02-06 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-02-09 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-02-10 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-02-11 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-02-12 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-02-13 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-02-16 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-02-17 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-02-18 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-02-19 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-02-20 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-02-23 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-02-24 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-02-25 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-02-26 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-02-27 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-03-02 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-03-03 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-03-04 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-03-05 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-03-06 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-03-09 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-03-10 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-03-11 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-03-12 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-03-13 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-03-16 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-03-18 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-03-19 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-03-20 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-03-23 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-03-24 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-03-25 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-03-27 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-03-30 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-03-31 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-04-01 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-04-02 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-04-03 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-04-06 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-04-07 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-04-08 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-04-09 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-04-10 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-04-13 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-04-15 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-04-16 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-04-17 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-04-20 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-04-21 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-04-22 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-04-23 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-04-24 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-04-27 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-04-28 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-04-29 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-04-30 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-05-04 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-05-05 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-05-06 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-05-07 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-05-08 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-05-11 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-05-12 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-05-14 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-05-15 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-05-18 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-05-19 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-05-20 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-05-21 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-05-22 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-05-25 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-05-26 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-05-27 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-05-28 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-05-29 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-06-01 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-06-02 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-06-03 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-06-04 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-06-05 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-06-08 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-06-09 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-06-10 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-06-11 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-06-12 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-06-15 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-06-16 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-06-17 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-06-18 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-06-19 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-06-22 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-06-23 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-06-24 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-06-25 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-06-26 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-06-29 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-06-30 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-07-02 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-07-03 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-07-06 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-07-07 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-07-08 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-07-09 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-07-10 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-07-13 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-07-14 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-07-15 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-07-16 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-07-17 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-07-20 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-07-21 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-07-22 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-07-23 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-07-24 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-08-03 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-08-04 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-08-05 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-08-06 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-08-07 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-08-10 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-08-11 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-08-12 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-08-13 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-08-14 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-08-18 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-08-19 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-08-20 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-08-21 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-08-24 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-08-25 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-08-26 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-08-27 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-08-28 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-08-31 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-09-01 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-09-02 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-09-03 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-09-04 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-09-07 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-09-08 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-09-09 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-09-10 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-09-11 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-09-14 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-09-15 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-09-16 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-09-17 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-09-18 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-09-21 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-09-22 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-09-23 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-09-24 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-09-25 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-09-28 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-09-29 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-09-30 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-10-01 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-10-02 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-10-12 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-10-13 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-10-14 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-10-15 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-10-16 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-10-19 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-10-20 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-10-21 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-10-22 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-10-23 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-10-26 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-10-27 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-10-28 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-10-29 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-10-30 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-11-02 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-11-03 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-11-05 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-11-06 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-11-09 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-11-10 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-11-11 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-11-12 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-11-13 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-11-16 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-11-17 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-11-18 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-11-19 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-11-20 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-11-23 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-11-24 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-11-25 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-11-26 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-11-27 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-11-30 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-12-01 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-12-02 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-12-03 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-12-04 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-12-07 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-12-08 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-12-09 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-12-10 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-12-11 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-12-14 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-12-15 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-12-17 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-12-18 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-12-21 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-12-22 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-12-23 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-12-24 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-12-28 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-12-29 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2014-12-30 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-01-01 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-01-05 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-01-06 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-01-07 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-01-08 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-01-11 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-01-12 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-01-13 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-01-14 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-01-15 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-01-18 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-01-19 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-01-20 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-01-21 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-01-22 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-01-25 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-01-26 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-01-27 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-01-28 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-01-29 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-02-01 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-02-02 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-02-03 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-02-04 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-02-05 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-02-08 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-02-09 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-02-10 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-02-11 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-02-12 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-02-15 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-02-16 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-02-17 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-02-18 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-02-19 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-02-22 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
2015-02-23 00:00:00+00:00,10.8,19.0,10.1,11.3,0.0
